shift_id,employee_name,employee_surname,email,phone_number,start_date_time_utc,finish_date_time_utc,last_reported_address,last_reported_latitude,last_reported_longitude,version,departments
190299,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22079864,DC
190307,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22141975,DC
190473,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22311061,DC
191777,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22390174,DC
192305,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22593089,DC
193559,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22673674,DC
194235,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22761302,DC
194850,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22814687,DC
195325,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22918629,DC
196044,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22918697,DC
196584,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,23348405,DC
199379,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,11,23352666,DC
200000,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,22079864,DC
203881,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,24143163,DC
204479,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,24548061,DC
207315,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,24549509,DC
207361,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,24616813,DC
208334,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,24734651,DC
218095,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,26262576,DC
245166,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,30686716,DC
245167,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31310651,DC
248821,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31315310,DC
249498,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31519927,DC
250063,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31547470,DC
250675,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31608038,DC
250677,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31608111,DC
250750,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31610389,DC
250755,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31610805,DC
250765,Abraham,Lincoln,tests+abraham.lincoln@safetyculture.io,+1555555555,--date--,--date--,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA",1,-1,31611569,DC
